legacy_page_num,legacy_component,component_name,file_name,translation_prefix,css_prefix,section_anchor_id,title,indicator_keys,data_getters,data_status
1,Page1,EnergyOverview,EnergyOverview.jsx,energy_overview,energy-overview,energy-overview,"Key energy, economic and environmental indicators",,,no_data
2,Page2,WorldEnergyProduction,WorldEnergyProduction.jsx,world_energy_production,energy-production,energy-production,Energy production and supply,world_energy_production,getWorldEnergyProductionData,pipeline_partial
3,Page3,CanadianEnergyProduction,CanadianEnergyProduction.jsx,canadian_energy_production,canadian-energy-production,canadian-energy-production,Canadian energy production,,,no_data
4,Page4,PrimaryEnergyProduction,PrimaryEnergyProduction.jsx,primary_energy_production,primary-energy-production,primary-energy-production,Primary energy production by source (2023),,,static_hardcoded
5,Page5,PrimaryEnergyByRegion,PrimaryEnergyByRegion.jsx,primary_energy_by_region,primary-energy-by-region,primary-energy-by-region,Primary energy production by region and source (2023),,,static_hardcoded
7,Page7,NominalGdp,NominalGdp.jsx,nominal_gdp,nominal-gdp,economic-contributions,Economic contributions,nominal_gdp,getNominalGDPData,pipeline_present
8,Page8,ProvincialGdp,ProvincialGdp.jsx,provincial_gdp,provincial-gdp,provincial-gdp,Energy's nominal GDP contribution by province/territory,provincial_gdp,getProvincialGdpData,pipeline_present
9,Page9,Employment,Employment.jsx,employment,employment,employment,Employment in Canada's energy sector (2024),,,static_hardcoded
10,Page10,EmploymentChart,EmploymentChart.jsx,employment_chart,employment-chart,employment-chart,Energy sector employment,,,static_hardcoded
11,Page11,GdpChart,GdpChart.jsx,gdp_chart,gdp-chart,gdp-chart,Energy sector GDP,,,static_hardcoded
14,Page14,CanadianEnergyExportsUsStates,CanadianEnergyExportsUsStates.jsx,canadian_energy_exports_us_states,canadian-energy-exports-us-states,canadian-energy-exports-us-states,Canadian energy exports to the U.S. by state (),,,static_hardcoded
15,Page15,CanadaGlobalEnergyTrade,CanadaGlobalEnergyTrade.jsx,canada_global_energy_trade,canada-global-energy-trade,canada-global-energy-trade,Canada's global energy trade,,,static_hardcoded
16,Page16,GovernmentRevenues,GovernmentRevenues.jsx,government_revenues,government-revenues,government-revenues,Government revenues,,,static_hardcoded
17,Page17,CorporateIncomeTaxes,CorporateIncomeTaxes.jsx,corporate_income_taxes,corporate-income-taxes,corporate-income-taxes,Corporate income taxes paid by energy industries (federal and provincial),,,static_hardcoded
20,Page20,GhgEmissionsBySector,GhgEmissionsBySector.jsx,ghg_emissions_by_sector,ghg-emissions,ghg-emissions,GHG emissions by Canadian economic sector,ghg_emissions,getGHGEmissionsData,pipeline_present
21,Page21,EnergyInformationLandscape,EnergyInformationLandscape.jsx,energy_information_landscape,energy-information-landscape,energy-information-landscape,Canada's energy information landscape,,,no_data
23,Page23,Investment,Investment.jsx,investment,investment-overview,investment-overview,Investment,capital_expenditures; economic_contributions; infrastructure,getCapitalExpendituresData; getEconomicContributionsData; getInfrastructureData,pipeline_present
24,Page24,CapitalExpenditures,CapitalExpenditures.jsx,capital_expenditures,capital-expenditure,capital-expenditure,Capital expenditures,capital_expenditures,getCapitalExpendituresData,pipeline_present
25,Page25,Infrastructure,Infrastructure.jsx,infrastructure,infrastructure-stock,infrastructure-stock,Canada's energy infrastructure,infrastructure,getInfrastructureData,pipeline_present
26,Page26,EconomicContributions,EconomicContributions.jsx,economic_contributions,economic-contributions,economic-contributions,"Fuel, energy and pipeline infrastructure investment and operations",economic_contributions,getEconomicContributionsData,pipeline_present
27,Page27,InvestmentByAsset,InvestmentByAsset.jsx,investment_by_asset,investment-by-asset,investment-by-asset,"Public and private investment in fuel, energy and pipeline infrastructure, 2009 to 2024",investment_by_asset,getInvestmentByAssetData,pipeline_present
28,Page28,MajorEnergyProjects,MajorEnergyProjects.jsx,major_energy_projects,major-projects,major-projects,Canada's major energy projects,major_projects,getMajorProjectsData,pipeline_present
29,Page29,CleanTechTrends,CleanTechTrends.jsx,clean_tech_trends,clean-tech-trends,clean-tech-trends,Clean technology project trends,clean_tech; cleantech_companies_geo; cleantech_companies_industry,getCleanTechTrendsData,pipeline_present
30,Page30,MajorProjectsMap,MajorProjectsMap.jsx,major_projects_map,projects-map,projects-map,Major energy projects,major_projects,getMajorProjectsData,pipeline_present
31,Page31,InternationalInvestment,InternationalInvestment.jsx,international_investment,international-investment,international-investment,International investments and investors,international_investment,getInternationalInvestmentData,pipeline_present
32,Page32,ForeignControl,ForeignControl.jsx,foreign_control,foreign-control,foreign-control,Foreign control of Canadian assets,foreign_control,getForeignControlData,pipeline_present
33,Page33,CEA,CEA.jsx,canadian_energy_assets,canadian-energy-assets,canadian-energy-assets,Canadian Energy Assets,canadian_energy_assets,getCEAData,pipeline_present
34,Page34,ResearchDevelopmentDemonstration,ResearchDevelopmentDemonstration.jsx,research_development_demonstration,research-development-demonstration,research-development-demonstration,"Research, development and demonstration",,,no_data
35,Page35,PublicEnergyRddExpenditures,PublicEnergyRddExpenditures.jsx,public_energy_rdd_expenditures,public-energy-rdd-expenditures,public-energy-rdd-expenditures,Canadian public expenditures on energy RD&D,,,static_hardcoded
36,Page36,EnergyRddByTechnology,EnergyRddByTechnology.jsx,energy_rdd_by_technology,energy-rdd-by-technology,energy-rdd-by-technology,Expenditures on energy RD&D by technology area ($ millions),,,static_hardcoded
37,Page37,EnvironmentalProtection,EnvironmentalProtection.jsx,environmental_protection,environmental-protection,environmental-protection,Environmental protection expenditures,environmental_protection,getEnvironmentalProtectionData,pipeline_present
39,Page39,SkillsDiversityCommunityOverview,SkillsDiversityCommunityOverview.jsx,skills_diversity_community_overview,skills-diversity-community-overview,skills-diversity-community-overview,"Skills, diversity and community",,,no_data
40,Page40,EnergySectorDemographics,EnergySectorDemographics.jsx,energy_sector_demographics,energy-sector-demographics,energy-sector-demographics,Energy sector demographics (2023),,,no_data
41,Page41,EnergySectorWages,EnergySectorWages.jsx,energy_sector_wages,energy-sector-wages,energy-sector-wages,Energy sector wages and the gender wage gap (2023),,,no_data
42,Page42,DemographicRepresentation,DemographicRepresentation.jsx,demographic_representation,demographic-representation,demographic-representation,Demographic representation in the energy sector,,,static_hardcoded
43,Page43,EnergyAffordability,EnergyAffordability.jsx,energy_affordability,energy-affordability,energy-affordability,Energy affordability,,,static_hardcoded
44,Page44,HouseholdEnergyExpenditures,HouseholdEnergyExpenditures.jsx,household_energy_expenditures,household-energy-expenditures,household-energy-expenditures,Household expenditures on energy,,,static_hardcoded
45,Page45,HouseholdEnergyPricesComparison,HouseholdEnergyPricesComparison.jsx,household_energy_prices_comparison,household-energy-prices-comparison,household-energy-prices-comparison,"Household energy prices per unit, 2024",,,static_hardcoded
46,Page46,EnergyReliantCommunities,EnergyReliantCommunities.jsx,energy_reliant_communities,energy-reliant-communities,energy-reliant-communities,Energy reliant communities,,,static_hardcoded
47,Page47,EnergyEfficiencyOverview,EnergyEfficiencyOverview.jsx,energy_efficiency_overview,energy-efficiency-overview,energy-efficiency-overview,Energy efficiency,,,no_data
48,Page48,EnergyUse,EnergyUse.jsx,energy_use,energy-use,energy-use,Energy use,energy_use,getEnergyUseData,pipeline_present
49,Page49,SEUByFuel,SEUByFuel.jsx,seu_by_fuel,secondary-energy-by-fuel,secondary-energy-by-fuel,Canada's secondary energy use by fuel type,seu_by_fuel,getSEUByFuelData,pipeline_present
50,Page50,EnergyInDailyLives,EnergyInDailyLives.jsx,energy_in_daily_lives,energy-in-daily-lives,energy-in-daily-lives,Energy in our daily lives,energy_use; residential_daily_lives; residential_pie_charts,getResidentialSectorOverviewData,pipeline_present
51,Page51,ResidentialEnergyUse,ResidentialEnergyUse.jsx,residential_daily_lives,residential-energy-use,residential-energy-use,Residential energy use,residential_daily_lives; residential_pie_charts,getResidentialEnergyUseData,pipeline_present
52,Page52,CommercialInstitutionalEnergyUse,CommercialInstitutionalEnergyUse.jsx,commercial_institutional,commercial-institutional-energy,commercial-institutional-energy,Commercial and institutional sector,commercial_institutional; energy_use,getCommercialInstitutionalEnergyUseData,pipeline_present
53,Page53,IndustrialSectorEnergy,IndustrialSectorEnergy.jsx,industrial_sector_energy,industrial-sector-energy,industrial-sector-energy,Industrial sector,energy_use; industrial_sector,getIndustrialEnergyUseData,pipeline_present
54,Page54,EfficiencyTrends,EfficiencyTrends.jsx,efficiency_trends,efficiency-trends,efficiency-trends,Efficiency trends,,,static_hardcoded
55,Page55,EnergyIntensityIndex,EnergyIntensityIndex.jsx,energy_intensity_index,energy-intensity-index,energy-intensity-index,"Indexed total secondary energy use intensity per capita and per unit of GDP, 2000–2022 (2000=100)",,,static_hardcoded
56,Page56,EnergyUseFactors,EnergyUseFactors.jsx,energy_use_factors,energy-use-factors,energy-use-factors,"Summary of factors influencing the change in energy use, 2000–2022",,,static_hardcoded
57,Page57,SectorEnergyTrends,SectorEnergyTrends.jsx,sector_energy_trends,sector-energy-trends,sector-energy-trends,"Trends in energy use and intensity by sector, 2000–2022",,,static_hardcoded
59,Page59,CleanPowerLowCarbonOverview,CleanPowerLowCarbonOverview.jsx,clean_power_low_carbon_overview,clean-power-low-carbon-overview,clean-power-low-carbon-overview,Clean power and low carbon fuels,,,no_data
60,Page60,CleanTechnologyEconomy,CleanTechnologyEconomy.jsx,clean_technology_economy,clean-technology-economy,clean-technology-economy,Clean technology and the economy,,,no_data
61,Page61,EnvironmentalCleanTech,EnvironmentalCleanTech.jsx,environmental_clean_tech,environmental-clean-technology,environmental-clean-technology,Environmental and clean technology,environmental_clean_tech,getEnvironmentalCleanTechData,pipeline_present
62,Page62,CleantechCompaniesByRegion,CleantechCompaniesByRegion.jsx,cleantech_companies_geo,cleantech-companies,cleantech-companies,Cleantech companies,clean_tech; cleantech_companies_geo,getCleantechCompaniesByRegionData,pipeline_present
