lang,id,company,project_name,province,location,capital_cost,capital_cost_range,status,clean_technology,clean_technology_type,line_type,lat,lon,paths,type,source_org,source_url
en,0996,"AltaLink, ATCO",Central East Area Transmission Development,Alberta,Multiple locations,513.00,500 - 750,Under Construction,No,N/A,Transmission,,,"[[{""lon"": -110.8995250775973, ""lat"": 52.84847622790844}, {""lon"": -110.26338681525446, ""lat"": 52.48095427247306}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0126,Connacher Oil & Gas Ltd.,Great Divide,Alberta,Regional Municipality of Wood Buffalo (RMWB),600.00,500 - 750,Planned,No,N/A,Pipeline,,,"[[{""lon"": -111.82931544365083, ""lat"": 56.11350731592327}, {""lon"": -111.51219189344253, ""lat"": 56.146339143882436}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0651,FortisBC Energy (Vancouver Island) Inc.,Eagle Mountain - Woodfibre LNG Gas Pipeline Projects,British Columbia,Coquitlam to Squamish,350.00,250 - 500,Under Construction,No,N/A,Pipeline,,,"[[{""lon"": -122.79309839543868, ""lat"": 49.28492264787294}, {""lon"": -123.16078757162828, ""lat"": 49.714269623244}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4231,Enbridge Frontier Inc.,Frontier NGL Plant and Pipeline Project,British Columbia,Chetwynd,"2,500.00","2,500 - 5,000",Planned,No,N/A,Pipeline,,,"[[{""lon"": -121.66892388778616, ""lat"": 55.71251502712359}, {""lon"": -120.72301079854081, ""lat"": 56.15324116754652}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0885,Pacific Northern Gas Ltd.,Pacific Northern Gas Pipeline Looping Project,British Columbia,Kitimat To Summit Lake,"1,300.00","1,000 - 2,500",Planned,No,N/A,Pipeline,,,"[[{""lon"": -128.68556181861072, ""lat"": 54.03302404275836}, {""lon"": -122.63654198142927, ""lat"": 54.270993856528875}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,0650,TransCanada,Prince Rupert Gas Transmission Project,British Columbia,North Montney to Port Edward (near Prince Rupert),"5,000.00","5,000 - 10,000",Planned,No,N/A,Pipeline,,,"[[{""lon"": -130.29346010802482, ""lat"": 54.23554282730339}, {""lon"": -122.01143165468748, ""lat"": 56.186844993859964}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,1023,Nukik Corp.,Kivalliq Hydro Fibre Link,Multiple,Gillam to Baker Lake,"3,200.00","2,500 - 5,000",Planned,Yes,Hydro,Transmission,,,"[[{""lon"": -96.08108123795023, ""lat"": 64.32352700092815}, {""lon"": -92.09020595410392, ""lat"": 62.852285803744955}, {""lon"": -93.85470654436244, ""lat"": 56.67014512837238}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6063,Northriver Midstream NEBC Connector GP Inc.,NEBC Connector Project,Multiple,"NW of Wonovon, BC & Gordondale, AB",450.00,250 - 500,Planned,No,N/A,Pipeline,,,"[[{""lon"": -122.0580179950256, ""lat"": 56.92280600646155}, {""lon"": -119.6917170664486, ""lat"": 55.839706295661244}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6104,NTPC,Whati Transmission Line,Northwest Territories,Whati to Snare Hydro Complex,41.50,10 - 50 ,Planned,Yes,Hydro,Transmission,,,"[[{""lon"": -116.73558351352949, ""lat"": 63.25242788954209}, {""lon"": -116.61002049354275, ""lat"": 63.27000690983897}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8134,Hydro One,Greater Toronto Area East Line Durham Kawartha Power Line,Ontario,"Pickering/Oshawa, Peterborough",298.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -79.11390331526452, ""lat"": 43.85240863311178}, {""lon"": -78.84660323977157, ""lat"": 43.98230866757875}, {""lon"": -78.9320032982593, ""lat"": 44.311308720706165}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8130,Hydro One,Longwood to Lakeshore Phase 1,Ontario,Municipality of Strathroy-Caradoc to Municipality of Lakeshore,800.00,"750 - 1,000",Planned,No,N/A,Transmission,,,"[[{""lon"": -81.62679402842653, ""lat"": 42.95939835627326}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8131,Hydro One,Longwood to Lakeshore Phase 2,Ontario,Municipality of Strathroy-Caradoc to Municipality of Lakeshore,800.00,"750 - 1,000",Planned,No,N/A,Transmission,,,"[[{""lon"": -81.62679402842653, ""lat"": 42.95939835627326}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8132,Hydro One,Mississagi to Third Line Transmission Line North Shore Link Project,Ontario,"Wharncliffe, Sault Ste. Marie",250.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -83.38830494393625, ""lat"": 46.420008838524176}, {""lon"": -84.32880525809954, ""lat"": 46.54500880450048}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8133,Hydro One,Northeast Power Line (Mississagi to Hanmer Transmissio Line),Ontario,"Wharncliffe, Sudbury",530.00,500 - 750,Planned,No,N/A,Transmission,,,"[[{""lon"": -83.38830494393625, ""lat"": 46.420008838524176}, {""lon"": -80.92080417506084, ""lat"": 46.63170900785126}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4000,Hydro One,Northwest Bulk Transmission Line Waasigan Transmission Line,Ontario,Thunder Bay to Dryden,"1,200.00","1,000 - 2,500",Under Construction,No,N/A,Transmission,,,"[[{""lon"": -89.24195708819956, ""lat"": 48.58398878515795}, {""lon"": -91.61500784379284, ""lat"": 48.74362863409662}, {""lon"": -92.84547841733615, ""lat"": 49.854038682594}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8137,PUC Transmisison,PUC Transmissionx Project,Ontario,Sault Ste. Marie,189.00,100 - 250,Planned,No,N/A,Transmission,,,"[[{""lon"": -84.39065727586261, ""lat"": 46.5273917973633}, {""lon"": -84.32880525809954, ""lat"": 46.54500880450048}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8136,Hydro One,St. Thomas Line (including Centennial Transformer Station & Line),Ontario,City of London to St. Thomas,400.00,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -81.1605128809628, ""lat"": 42.93962837493266}, {""lon"": -81.15351986738781, ""lat"": 42.793748349566286}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,6089,Hydro One,St.Clair Transmission Line,Ontario,"St.Clair, Chatham Kent",471.90,250 - 500,Planned,No,N/A,Transmission,,,"[[{""lon"": -82.0953441230177, ""lat"": 42.385228232002554}, {""lon"": -82.70597430586251, ""lat"": 42.31002818826645}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,8135,TBD  Hydro One,Wawa to Porcupine,Ontario,"Timmins, Greater Sudbury",600.00,500 - 750,Planned,No,N/A,Transmission,,,"[[{""lon"": -84.5469445005294, ""lat"": 47.88515089361095}, {""lon"": -94.90912907573089, ""lat"": 48.46564544491719}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
en,4073,PEI Energy Corporation,Western PEI Transmission Upgrade,Prince Edward Island,"Western Prince County, PEI",44.00,10 - 50 ,Planned,No,N/A,Transmission,,,"[[{""lon"": -63.77626077337365, ""lat"": 46.43472346996201}, {""lon"": -64.11740865242652, ""lat"": 46.96495485839825}]]",line,Natural Resources Canada,https://natural-resources.canada.ca/science-data/data-analysis/natural-resources-major-projects-planned-under-construction-2024-2034
