id,ref_year,gdp_direct,gdp_indirect,gdp_total,jobs_direct,jobs_indirect,jobs_total,income_direct,income_indirect,income_total,calculated_at
1,2007,7841.0,655.0,8496.0,59500.0,6100.0,65600.0,3693.0,450.0,4143.0,2026-03-05 06:02:14.300000
2,2008,8880.0,2255.0,11135.0,67400.0,21400.0,88800.0,4178.0,1515.0,5693.0,2026-03-05 06:02:14.303333
3,2009,9653.0,2109.0,11762.0,72800.0,19900.0,92700.0,4586.0,1390.0,5976.0,2026-03-05 06:02:14.306666
4,2010,10859.0,1191.0,12050.0,82900.0,10200.0,93100.0,5223.0,746.0,5969.0,2026-03-05 06:02:14.306666
5,2011,11143.0,1382.0,12525.0,84000.0,11400.0,95400.0,5495.0,846.0,6341.0,2026-03-05 06:02:14.306666
6,2012,11792.0,2084.0,13876.0,87400.0,16600.0,104000.0,5915.0,1311.0,7226.0,2026-03-05 06:02:14.306666
7,2013,14447.0,4117.0,18564.0,107200.0,32600.0,139800.0,7193.0,2659.0,9852.0,2026-03-05 06:02:14.306666
8,2014,15299.0,4181.0,19480.0,112300.0,31600.0,143900.0,7559.0,2687.0,10246.0,2026-03-05 06:02:14.306666
9,2015,13797.0,3815.0,17612.0,99600.0,31900.0,131500.0,7166.0,2664.0,9830.0,2026-03-05 06:02:14.306666
10,2016,14273.0,3871.0,18144.0,96100.0,32300.0,128400.0,7210.0,2612.0,9822.0,2026-03-05 06:02:14.306666
11,2017,14355.0,4443.0,18798.0,90800.0,35500.0,126300.0,7182.0,2943.0,10125.0,2026-03-05 06:02:14.306666
12,2018,13906.0,4462.0,18368.0,82700.0,35400.0,118100.0,6887.0,2955.0,9842.0,2026-03-05 06:02:14.306666
13,2019,13672.0,5681.0,19353.0,79400.0,45800.0,125200.0,6815.0,3819.0,10634.0,2026-03-05 06:02:14.306666
14,2020,13445.0,7967.0,21412.0,73400.0,61200.0,134600.0,6612.0,5410.0,12022.0,2026-03-05 06:02:14.306666
15,2021,14862.0,8974.0,23836.0,79200.0,65900.0,145100.0,7103.0,5945.0,13048.0,2026-03-05 06:02:14.306666
16,2022,15159.0,13757.0,28916.0,80400.0,101100.0,181500.0,7198.0,9092.0,16290.0,2026-03-05 06:02:14.310000
17,2023,18625.0,10702.0,29327.0,99200.0,78500.0,177700.0,8863.0,7070.0,15933.0,2026-03-05 06:02:14.310000
18,2024,23191.0,6792.0,29983.0,122600.0,49900.0,172500.0,11014.0,4464.0,15478.0,2026-03-05 06:02:14.310000
