id,lang,feature_id,company,project_name,province,location,capital_cost,capital_cost_range,status,clean_technology,clean_technology_type,line_type,lat,lon,paths,feature_type,fetched_at
2394,en,76,Blue Fuel Energy Corp.,Clean Methanol Plant,British Columbia,Chetwynd,"1,000.00","1,000 - 2,500",Planned,Yes,Bioenergy,,55.69815303268969,-121.62970637520029,,point,2026-03-27 08:15:27.386666
2395,en,536,ecoTECH Energy Group (Canada) Inc,Biomass Project - McBride,British Columbia,McBride,140.00,100 - 250,Planned,Yes,Bioenergy,,53.342923128836276,-120.26762021633148,,point,2026-03-27 08:15:27.386666
2396,en,703,Éthanol Cellulosique Varennes s.e.c. (Recyclage Carbone Varennes),Usine de carburant à faible intensité carbone (inclut un électrolyseur),Quebec,Varennes,"1,200.00","1,000 - 2,500",Under Construction,Yes,Bioenergy,,45.681224190687864,-73.43509360332713,,point,2026-03-27 08:15:27.386666
2397,en,758,Pristine Power Inc./Cheslatta Forest Products,Cheslatta Green Energy Project,British Columbia,Burns Lake,46.00,10 - 50 ,Planned,Yes,Bioenergy,,53.579205533293006,-124.95001710191428,,point,2026-03-27 08:15:27.386666
2398,en,970,Creative Energy Vancouver Platforms Inc.,Creative Energy Plant,British Columbia,Vancouver,100.00,100 - 250,Under Construction,Yes,Bioenergy,,49.27818960970724,-123.11245344429159,,point,2026-03-27 08:15:27.386666
2399,en,2114,Chantiers Chibougamau inc.,Centrale de cogénération Assinica,Quebec,Lebel-sur-Quévillon,342.00,250 - 500,Planned,Yes,Bioenergy,,49.93405783371148,-74.33350629654286,,point,2026-03-27 08:15:27.386666
2400,en,2115,Cogénération Val-d'Or,Cogénération Val-d'Or,Quebec,Val-d'Or,72.00,50 - 100,Planned,Yes,Bioenergy,,48.14852540375368,-77.79189830123957,,point,2026-03-27 08:15:27.386666
2401,en,2121,Ainsworth Energy Co. Ltd.,Anahim Lake Bioenergy Project,British Columbia,"Cariboo, Anahim Lake",15.00,10 - 50 ,Planned,Yes,Bioenergy,,52.41840330533732,-126.48629291719534,,point,2026-03-27 08:15:27.386666
2402,en,2122,Yun Ka Whu'ten Holdings,Biomass Project - Anahim Lake,British Columbia,"Cariboo, Anahim Lake",15.00,10 - 50 ,Planned,Yes,Bioenergy,,52.46535345624128,-125.31755776109446,,point,2026-03-27 08:15:27.386666
2403,en,2123,Ainsworth Energy Co. Ltd.,Tumbler Ridge Bioenergy Project,British Columbia,"Thompson, Okanagan, Kelowna",15.00,10 - 50 ,Planned,Yes,Bioenergy,,50.02465907974658,-119.37344401338525,,point,2026-03-27 08:15:27.386666
