id,ref_year,gdp_direct,gdp_indirect,gdp_total,jobs_direct,jobs_indirect,jobs_total,income_direct,income_indirect,income_total,calculated_at
1,2007,7841.0,655.0,8496.0,59500.0,6100.0,65600.0,3693.0,450.0,4143.0,2026-03-27 08:13:20.133333
2,2008,8880.0,2255.0,11135.0,67400.0,21400.0,88800.0,4178.0,1515.0,5693.0,2026-03-27 08:13:20.133333
3,2009,9653.0,2109.0,11762.0,72800.0,19900.0,92700.0,4586.0,1390.0,5976.0,2026-03-27 08:13:20.133333
4,2010,10859.0,1191.0,12050.0,82900.0,10200.0,93100.0,5223.0,746.0,5969.0,2026-03-27 08:13:20.133333
5,2011,11143.0,1382.0,12525.0,84000.0,11400.0,95400.0,5495.0,846.0,6341.0,2026-03-27 08:13:20.136666
6,2012,11792.0,2084.0,13876.0,87400.0,16600.0,104000.0,5915.0,1311.0,7226.0,2026-03-27 08:13:20.136666
7,2013,14447.0,4117.0,18564.0,107200.0,32600.0,139800.0,7193.0,2659.0,9852.0,2026-03-27 08:13:20.136666
8,2014,15299.0,4181.0,19480.0,112300.0,31600.0,143900.0,7559.0,2687.0,10246.0,2026-03-27 08:13:20.136666
9,2015,13797.0,3815.0,17612.0,99600.0,31900.0,131500.0,7166.0,2664.0,9830.0,2026-03-27 08:13:20.136666
10,2016,14273.0,3871.0,18144.0,96100.0,32300.0,128400.0,7210.0,2612.0,9822.0,2026-03-27 08:13:20.136666
11,2017,14355.0,4443.0,18798.0,90800.0,35500.0,126300.0,7182.0,2943.0,10125.0,2026-03-27 08:13:20.136666
12,2018,13906.0,4462.0,18368.0,82700.0,35400.0,118100.0,6887.0,2955.0,9842.0,2026-03-27 08:13:20.136666
13,2019,13672.0,5681.0,19353.0,79400.0,45800.0,125200.0,6815.0,3819.0,10634.0,2026-03-27 08:13:20.136666
14,2020,13445.0,7967.0,21412.0,73400.0,61200.0,134600.0,6612.0,5410.0,12022.0,2026-03-27 08:13:20.136666
15,2021,14862.0,8974.0,23836.0,79200.0,65900.0,145100.0,7103.0,5945.0,13048.0,2026-03-27 08:13:20.136666
16,2022,15091.0,13117.0,28208.0,77600.0,84800.0,162400.0,7048.0,8250.0,15298.0,2026-03-27 08:13:20.136666
17,2023,18540.0,10205.0,28745.0,96000.0,65700.0,161700.0,8680.0,6411.0,15091.0,2026-03-27 08:13:20.136666
18,2024,23490.0,4767.0,28257.0,119600.0,30700.0,150300.0,10951.0,2994.0,13945.0,2026-03-27 08:13:20.140000
19,2025,25060.0,5085.0,30145.0,127600.0,32700.0,160300.0,11683.0,3194.0,14877.0,2026-03-27 08:13:20.140000
