id,ref_year,oil_gas,electricity,other_energy,total,calculated_at
1,2007,41262.6,13229.2,8707.6,63199.4,2026-03-05 06:02:26.673333
2,2008,44861.4,14678.6,12180.0,71720.0,2026-03-05 06:02:26.676666
3,2009,26938.1,17074.0,9832.3,53844.4,2026-03-05 06:02:26.680000
4,2010,42965.2,18018.0,7129.9,68113.1,2026-03-05 06:02:26.680000
5,2011,52168.0,19190.9,10024.8,81383.7,2026-03-05 06:02:26.680000
6,2012,58779.8,19919.1,10934.2,89633.1,2026-03-05 06:02:26.680000
7,2013,65073.5,24302.4,15159.5,104535.4,2026-03-05 06:02:26.680000
8,2014,76070.0,25528.1,15656.4,117254.5,2026-03-05 06:02:26.680000
9,2015,51064.8,23944.0,15730.4,90739.2,2026-03-05 06:02:26.680000
10,2016,37604.7,23509.0,12658.5,73772.2,2026-03-05 06:02:26.680000
11,2017,40248.1,23865.0,12656.6,76769.7,2026-03-05 06:02:26.680000
12,2018,37052.3,21556.8,13761.5,72370.6,2026-03-05 06:02:26.680000
13,2019,33920.2,22157.9,14986.9,71065.0,2026-03-05 06:02:26.680000
14,2020,21804.7,21520.0,15054.4,58379.1,2026-03-05 06:02:26.680000
15,2021,24686.2,24617.9,18477.2,67781.3,2026-03-05 06:02:26.680000
16,2022,35029.0,25584.1,26030.9,86644.0,2026-03-05 06:02:26.680000
17,2023,39201.8,28632.1,25920.0,93753.9,2026-03-05 06:02:26.680000
18,2024,43652.4,31013.2,16066.5,90732.1,2026-03-05 06:02:26.680000
19,2025,42038.0,33451.4,13386.6,88876.0,2026-03-05 06:02:26.680000
20,2026,43601.3,36589.4,16896.2,97086.9,2026-03-05 06:02:26.680000
