id,ref_year,fuel_energy_pipelines,transport,education,health_housing,environmental,public_safety,total,calculated_at
1,2007,117187.0,118011.0,67766.0,66489.0,35187.0,57212.0,461852.0,2026-03-31 08:18:13.533333
2,2008,131110.0,135417.0,74917.0,74576.0,38616.0,61406.0,516042.0,2026-03-31 08:18:13.533333
3,2009,141153.0,141109.0,74258.0,78290.0,41005.0,62447.0,538262.0,2026-03-31 08:18:13.533333
4,2010,150248.0,153508.0,78313.0,85954.0,43366.0,65744.0,577133.0,2026-03-31 08:18:13.533333
5,2011,160823.0,169399.0,83670.0,94289.0,45797.0,70366.0,624344.0,2026-03-31 08:18:13.533333
6,2012,173180.0,182073.0,87600.0,102298.0,48239.0,74454.0,667844.0,2026-03-31 08:18:13.533333
7,2013,189479.0,189748.0,88802.0,107590.0,49677.0,77337.0,702633.0,2026-03-31 08:18:13.533333
8,2014,208399.0,198091.0,91469.0,113517.0,52009.0,83152.0,746637.0,2026-03-31 08:18:13.533333
9,2015,224830.0,205002.0,94286.0,117210.0,54896.0,88122.0,784346.0,2026-03-31 08:18:13.536666
10,2016,236072.0,209095.0,97423.0,118193.0,57303.0,93299.0,811385.0,2026-03-31 08:18:13.536666
11,2017,247766.0,219255.0,103177.0,120502.0,58298.0,98753.0,847751.0,2026-03-31 08:18:13.536666
12,2018,264567.0,233193.0,110707.0,125610.0,60123.0,105240.0,899440.0,2026-03-31 08:18:13.536666
13,2019,277557.0,246090.0,115811.0,129342.0,61638.0,110985.0,941423.0,2026-03-31 08:18:13.536666
14,2020,288357.0,253478.0,118884.0,131958.0,62054.0,115125.0,969856.0,2026-03-31 08:18:13.536666
15,2021,325695.0,285408.0,129689.0,142077.0,66923.0,127669.0,1077461.0,2026-03-31 08:18:13.536666
16,2022,375929.0,327285.0,145473.0,158912.0,72884.0,144074.0,1224557.0,2026-03-31 08:18:13.536666
17,2023,396011.0,337179.0,156622.0,168378.0,74336.0,150211.0,1282737.0,2026-03-31 08:18:13.536666
18,2024,417856.0,356993.0,166303.0,178131.0,76738.0,157206.0,1353227.0,2026-03-31 08:18:13.536666
19,2025,441929.0,378836.0,176637.0,189035.0,79817.0,166998.0,1433252.0,2026-03-31 08:18:13.536666
