run_id,source_key,run_type,status,rows_affected,error_message,started_at,completed_at,duration_seconds
1274,commercial_institutional,fetch,success,219.0,,2026-03-11 06:57:48.033333,2026-03-11 06:57:51.260000,3
1273,residential_pie_charts,fetch,success,432.0,,2026-03-11 06:57:43.210000,2026-03-11 06:57:48.030000,5
1272,residential_daily_lives,fetch,success,99.0,,2026-03-11 06:57:40.103333,2026-03-11 06:57:43.206666,3
1271,seu_by_fuel,fetch,success,11.0,,2026-03-11 06:57:39.993333,2026-03-11 06:57:40.100000,1
1270,energy_use,fetch,success,9.0,,2026-03-11 06:57:34.550000,2026-03-11 06:57:39.986666,5
1269,commercial_institutional,fetch,success,219.0,,2026-03-10 07:16:05.883333,2026-03-10 07:16:10.086666,5
1268,residential_pie_charts,fetch,success,432.0,,2026-03-10 07:15:58.920000,2026-03-10 07:16:05.880000,7
1267,residential_daily_lives,fetch,success,99.0,,2026-03-10 07:15:54.900000,2026-03-10 07:15:58.920000,4
1266,seu_by_fuel,fetch,success,11.0,,2026-03-10 07:15:54.800000,2026-03-10 07:15:54.896666,0
1265,energy_use,fetch,success,9.0,,2026-03-10 07:15:49.240000,2026-03-10 07:15:54.796666,5
1264,commercial_institutional,fetch,success,219.0,,2026-03-10 07:04:10.080000,2026-03-10 07:04:13.886666,3
1263,residential_pie_charts,fetch,success,432.0,,2026-03-10 07:04:03.466666,2026-03-10 07:04:10.076666,7
1262,residential_daily_lives,fetch,success,99.0,,2026-03-10 07:03:59.770000,2026-03-10 07:04:03.463333,4
1261,seu_by_fuel,fetch,success,11.0,,2026-03-10 07:03:59.663333,2026-03-10 07:03:59.766666,0
1260,energy_use,fetch,success,9.0,,2026-03-10 07:03:54.893333,2026-03-10 07:03:59.660000,5
1259,commercial_institutional,fetch,success,219.0,,2026-03-10 07:02:44.583333,2026-03-10 07:02:48.090000,4
1258,commercial_institutional,fetch,success,219.0,,2026-03-10 07:00:47.923333,2026-03-10 07:00:54.686666,7
1257,residential_pie_charts,fetch,success,432.0,,2026-03-09 08:06:01.780000,2026-03-09 08:06:06.400000,5
1256,residential_daily_lives,fetch,success,99.0,,2026-03-09 08:05:58.786666,2026-03-09 08:06:01.780000,3
1255,seu_by_fuel,fetch,success,11.0,,2026-03-09 08:05:58.686666,2026-03-09 08:05:58.783333,0
1254,energy_use,fetch,success,9.0,,2026-03-09 08:05:54.170000,2026-03-09 08:05:58.683333,4
1253,residential_pie_charts,fetch,success,360.0,,2026-03-09 07:44:05.703333,2026-03-09 07:44:10.303333,5
1252,residential_daily_lives,fetch,success,99.0,,2026-03-09 07:44:02.743333,2026-03-09 07:44:05.700000,3
1251,seu_by_fuel,fetch,success,11.0,,2026-03-09 07:44:02.646666,2026-03-09 07:44:02.740000,0
1250,energy_use,fetch,success,9.0,,2026-03-09 07:43:58.833333,2026-03-09 07:44:02.643333,4
1249,residential_pie_charts,fetch,success,360.0,,2026-03-09 07:34:22.306666,2026-03-09 07:34:26.830000,4
1248,residential_daily_lives,fetch,success,99.0,,2026-03-09 07:34:19.220000,2026-03-09 07:34:22.303333,3
1247,seu_by_fuel,fetch,success,11.0,,2026-03-09 07:34:19.123333,2026-03-09 07:34:19.216666,0
1246,energy_use,fetch,success,9.0,,2026-03-09 07:34:15.360000,2026-03-09 07:34:19.120000,4
1245,residential_pie_charts,fetch,success,312.0,,2026-03-09 07:08:27.880000,2026-03-09 07:08:34.770000,7
1244,residential_daily_lives,fetch,success,99.0,,2026-03-09 07:08:23.213333,2026-03-09 07:08:27.870000,4
1243,seu_by_fuel,fetch,success,11.0,,2026-03-09 07:08:23.093333,2026-03-09 07:08:23.210000,0
1242,energy_use,fetch,success,9.0,,2026-03-09 07:08:17.080000,2026-03-09 07:08:23.090000,6
1241,residential_daily_lives,fetch,success,99.0,,2026-03-09 06:04:30.000000,2026-03-09 06:04:33.433333,3
1240,seu_by_fuel,fetch,success,11.0,,2026-03-09 06:04:29.863333,2026-03-09 06:04:29.993333,0
1239,energy_use,fetch,success,9.0,,2026-03-09 06:04:24.293333,2026-03-09 06:04:29.860000,5
1238,residential_daily_lives,fetch,success,99.0,,2026-03-09 02:00:18.406666,2026-03-09 02:00:21.406666,3
1237,seu_by_fuel,fetch,success,11.0,,2026-03-09 02:00:18.300000,2026-03-09 02:00:18.403333,0
1236,energy_use,fetch,success,9.0,,2026-03-09 02:00:14.436666,2026-03-09 02:00:18.296666,4
1235,residential_daily_lives,fetch,success,99.0,,2026-03-09 01:54:52.063333,2026-03-09 01:54:55.150000,3
1234,seu_by_fuel,fetch,success,11.0,,2026-03-09 01:54:51.966666,2026-03-09 01:54:52.060000,1
1233,energy_use,fetch,success,9.0,,2026-03-09 01:54:47.566666,2026-03-09 01:54:51.963333,4
1232,residential_daily_lives,fetch,success,99.0,,2026-03-09 01:30:47.460000,2026-03-09 01:30:50.546666,3
1231,seu_by_fuel,fetch,success,11.0,,2026-03-09 01:30:47.343333,2026-03-09 01:30:47.456666,0
1230,energy_use,fetch,success,9.0,,2026-03-09 01:30:43.070000,2026-03-09 01:30:47.340000,4
1229,residential_daily_lives,fetch,success,99.0,,2026-03-09 01:12:59.813333,2026-03-09 01:13:03.013333,4
1228,seu_by_fuel,fetch,success,11.0,,2026-03-09 01:12:59.713333,2026-03-09 01:12:59.813333,0
1227,energy_use,fetch,success,9.0,,2026-03-09 01:12:55.800000,2026-03-09 01:12:59.710000,4
1226,residential_daily_lives,fetch,success,99.0,,2026-03-09 01:10:19.786666,2026-03-09 01:10:23.340000,4
1225,residential_daily_lives,fetch,success,3.0,,2026-03-09 01:07:32.056666,2026-03-09 01:07:33.296666,1
1224,residential_daily_lives,fetch,success,3.0,,2026-03-09 01:00:08.140000,2026-03-09 01:00:08.230000,0
1223,seu_by_fuel,fetch,success,11.0,,2026-03-09 01:00:08.020000,2026-03-09 01:00:08.136666,0
1222,energy_use,fetch,success,9.0,,2026-03-09 01:00:04.216666,2026-03-09 01:00:08.016666,4
1221,residential_daily_lives,fetch,success,3.0,,2026-03-09 00:47:15.786666,2026-03-09 00:47:15.883333,0
1220,seu_by_fuel,fetch,success,11.0,,2026-03-09 00:47:15.623333,2026-03-09 00:47:15.783333,0
1219,energy_use,fetch,success,9.0,,2026-03-09 00:47:08.210000,2026-03-09 00:47:15.606666,7
1218,residential_daily_lives,fetch,success,3.0,,2026-03-08 08:25:44.983333,2026-03-08 08:25:45.090000,1
1217,seu_by_fuel,fetch,success,11.0,,2026-03-08 08:25:44.736666,2026-03-08 08:25:44.980000,0
1216,energy_use,fetch,success,9.0,,2026-03-08 08:25:39.176666,2026-03-08 08:25:44.733333,5
1215,seu_by_fuel,fetch,success,11.0,,2026-03-08 04:40:12.700000,2026-03-08 04:40:13.050000,1
1214,seu_by_fuel,fetch,failed,,'Config' object has no attribute 'project_root',2026-03-08 04:38:22.920000,2026-03-08 04:38:22.923333,0
1213,seu_by_fuel,fetch,failed,,'Config' object has no attribute 'project_root',2026-03-08 04:38:06.126666,2026-03-08 04:38:06.133333,0
1212,energy_use,fetch,success,9.0,,2026-03-08 04:38:01.976666,2026-03-08 04:38:06.123333,5
1211,energy_use,fetch,success,9.0,,2026-03-06 07:10:17.633333,2026-03-06 07:10:22.080000,5
1210,energy_use,fetch,success,9.0,,2026-03-05 08:39:26.223333,2026-03-05 08:39:30.040000,4
1209,energy_use,fetch,success,9.0,,2026-03-05 08:33:46.860000,2026-03-05 08:33:51.853333,5
1208,energy_use,fetch,success,9.0,,2026-03-05 08:19:56.940000,2026-03-05 08:20:00.836666,4
1207,energy_use,fetch,success,9.0,,2026-03-05 08:16:53.463333,2026-03-05 08:16:57.810000,4
1206,energy_use,fetch,success,9.0,,2026-03-05 08:10:41.320000,2026-03-05 08:10:45.373333,4
